Name,Label,Country_specific,Scale_type,Type,Format,Valid,Invalid,Question,Group
prtcldbe,"Which party feel closer to, Belgium",yes,nominal,discrete,numeric-2.0,847,35168,B24BE Which one? (Belgium),Group Politics
prtcldbg,"Which party feel closer to, Bulgaria",yes,nominal,discrete,numeric-2.0,582,35433,B24BG Which one? (Bulgaria),Group Politics
prtclgch,"Which party feel closer to, Switzerland",yes,nominal,discrete,numeric-2.0,775,35240,B24CH Which one? (Switzerland),Group Politics
prtclbcy,"Which party feel closer to, Cyprus",yes,nominal,discrete,numeric-2.0,245,35770,B24CY Which one? (Cyprus),Group Politics
prtclecz,"Which party feel closer to, Czechia",yes,nominal,discrete,numeric-2.0,898,35117,B24CZ Which one? (Czechia),Group Politics
prtclede,"Which party feel closer to, Germany",yes,nominal,discrete,numeric-2.0,1253,34762,B24DE Which one? (Germany),Group Politics
prtclgee,"Which party feel closer to, Estonia",yes,nominal,discrete,numeric-2.0,747,35268,B24EE Which one? (Estonia),Group Politics
prtclefi,"Which party feel closer to, Finland",yes,nominal,discrete,numeric-2.0,900,35115,B24FI Which one? (Finland),Group Politics
prtclffr,"Which party feel closer to, France",yes,nominal,discrete,numeric-2.0,826,35189,B24FR Which one? (France),Group Politics
prtclcgb,"Which party feel closer to, United Kingdom",yes,nominal,discrete,numeric-2.0,1170,34845,B24GB Which one? (United Kingdom),Group Politics
prtclghu,"Which party feel closer to, Hungary",yes,nominal,discrete,numeric-2.0,650,35365,B24HU Which one? (Hungary),Group Politics
prtcleie,"Which party feel closer to, Ireland",yes,nominal,discrete,numeric-2.0,832,35183,B24IE Which one? (Ireland),Group Politics
prtcldit,"Which party feel closer to, Italy",yes,nominal,discrete,numeric-2.0,1054,34961,B24IT Which one? (Italy),Group Politics
prtclfnl,"Which party feel closer to, Netherlands",yes,nominal,discrete,numeric-2.0,901,35114,B24NL Which one? (Netherlands),Group Politics
prtclbno,"Which party feel closer to, Norway",yes,nominal,discrete,numeric-2.0,915,35100,B24NO Which one? (Norway),Group Politics
prtclhpl,"Which party feel closer to, Poland",yes,nominal,discrete,numeric-2.0,478,35537,B24PL Which one? (Poland),Group Politics
prtclrs,"Which party feel closer to, Serbia",yes,nominal,discrete,numeric-2.0,621,35394,B24SE Which one? (Serbia),Group Politics
prtclfsi,"Which party feel closer to, Slovenia",yes,nominal,discrete,numeric-2.0,428,35587,B24SI Which one? (Slovenia),Group Politics
prtdgcl,How close to party,no,ordinal,discrete,numeric-1.0,15199,20816,B25 How close do you feel to this party? Do you feel that you are ...,Group Politics
lrscale,Placement on left right scale,no,ordinal,discrete,numeric-2.0,30850,5165,"B26 In politics people sometimes talk of 'left' and 'right'. Using this card, where would you place yourself on this scale, where 0 means the left and 10 means the right?",Group Politics
stflife,How satisfied with life as a whole,no,ordinal,discrete,numeric-2.0,35822,193,"B27 All things considered, how satisfied are you with your life as a whole nowadays? Please answer using this card, where 0 means extremely dissatisfied and 10 means extremely satisfied.",Group Politics
stfeco,How satisfied with present state of economy in country,no,ordinal,discrete,numeric-2.0,35088,927,B28 On the whole how satisfied are you with the present state of the economy in [country]?,Group Politics
stfgov,How satisfied with the national government,no,ordinal,discrete,numeric-2.0,34711,1304,"B29 Now thinking about the [country] government, how satisfied are you with the way it is doing its job?",Group Politics
stfdem,How satisfied with the way democracy works in country,no,ordinal,discrete,numeric-2.0,34683,1332,"B30 And on the whole, how satisfied are you with the way democracy works in [country]?",Group Politics
stfedu,State of education in country nowadays,no,ordinal,discrete,numeric-2.0,34641,1374,"B31 Now, using this card, please say what you think overall about the state of education in [country] nowadays?",Group Politics
stfhlth,State of health services in country nowadays,no,ordinal,discrete,numeric-2.0,35750,265,"B32 Still using this card, please say what you think overall about the state of health services in [country] nowadays?",Group Politics
gincdif,Government should reduce differences in income levels,no,ordinal,discrete,numeric-1.0,35360,655,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. The government should take measures to reduce differences in income levels",Group Politics
freehms,Gays and lesbians free to live life as they wish,no,ordinal,discrete,numeric-1.0,34809,1206,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. Gay men and lesbians should be free to live their own life as they wish",Group Politics
hmsfmlsh,Ashamed if close family member gay or lesbian,no,ordinal,discrete,numeric-1.0,34228,1787,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. If a close family member was a gay man or a lesbian, I would feel ashamed.",Group Politics
hmsacld,Gay and lesbian couples right to adopt children,no,ordinal,discrete,numeric-1.0,34416,1599,"B33-36 Using this card, please say to what extent you agree or disagree with each of the following statements. Gay male and lesbian couples should have the same rights to adopt children as straight couples.",Group Politics
euftf,European Union: European unification go further or gone too far,no,ordinal,discrete,numeric-2.0,33286,2729,"B37 Now thinking about the European Union, some say European unification should go further. Others say it has already gone too far. Using this card,
what number on the scale best describes your position?",Group Politics
imsmetn,Allow many/few immigrants of same race/ethnic group as majority,no,ordinal,discrete,numeric-1.0,34939,1076,"B38 Now, using this card, to what extent do you think [country] should allow people of the same race or ethnic group as most [country] people to come and live here?",Group Politics
imdfetn,Allow many/few immigrants of different race/ethnic group from majority,no,ordinal,discrete,numeric-1.0,34928,1087,B39 How about people of a different race or ethnic group from most [country] people?,Group Politics
impcntr,Allow many/few immigrants from poorer countries outside Europe,no,ordinal,discrete,numeric-1.0,34888,1127,B40 How about people from the poorer countries outside Europe?,Group Politics
imbgeco,Immigration bad or good for country's economy,no,ordinal,discrete,numeric-2.0,34496,1519,B41 Would you say it is generally bad or good for [country]'s economy that people come to live here from other countries?,Group Politics
imueclt,Country's cultural life undermined or enriched by immigrants,no,ordinal,discrete,numeric-2.0,34587,1428,"B42 And, using this card, would you say that [country]'s cultural life is generally undermined or enriched by people coming to live here from other countries?",Group Politics
imwbcnt,Immigrants make country worse or better place to live,no,ordinal,discrete,numeric-2.0,34501,1514,B43 Is [country] made a worse or a better place to live by people coming to live here from other countries?,Group Politics
happy,How happy are you,no,ordinal,discrete,numeric-2.0,35867,148,"C1 Taking all things together, how happy would you say you are?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
sclmeet,"How often socially meet with friends, relatives or colleagues",no,ordinal,discrete,numeric-2.0,35876,139,"C2 Using this card, how often do you meet socially with friends, relatives or work colleagues?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
inprdsc,How many people with whom you can discuss intimate and personal matters,no,ordinal,discrete,numeric-2.0,35550,465,"C3 How many people, if any, are there with whom you can discuss intimate and personal matters?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
sclact,Take part in social activities compared to others of same age,no,ordinal,discrete,numeric-1.0,35396,619,"C4 Compared to other people of your age, how often would you say you take part in social activities?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
crmvct,Respondent or household member victim of burglary/ assault last 5 years,no,binary,discrete,numeric-1.0,35863,152,C5 Have you or a member of your household been the victim of a burglary or assault in the last 5 years?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
aesfdrk,Feeling of safety of walking alone in local area after dark,no,ordinal,discrete,numeric-1.0,35688,327,"C6 How safe do you - or would you
- feel walking alone in this area after dark? Do - or would - you feel...","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
health,Subjective general health,no,ordinal,discrete,numeric-1.0,35964,51,C7 How is your health in general? Would you say it is ...,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
hlthhmp,Hampered in daily activities by illness/disability/infirmity/ mental problem,no,ordinal,discrete,numeric-1.0,35930,85,"C8 Are you hampered in your daily activities in any way by any longstanding illness, or disability,
infirmity or mental health problem? If yes, is that a lot or to some extent?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
atchctr,How emotionally attached to [country],no,ordinal,discrete,numeric-2.0,35833,182,"C9 How emotionally attached do you feel to [country]? Please choose a number from 0 to 10, where 0 means not at all emotionally attached and 10 means
very emotionally attached.","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
atcherp,How emotionally attached to Europe,no,ordinal,discrete,numeric-2.0,35277,738,C10 And how emotionally attached do you feel to Europe?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgblg,Belonging to particular religion or denomination,no,binary,discrete,numeric-1.0,35735,280,C11 Do you consider yourself as belonging to any particular religion or denomination?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnm,Religion or denomination belonging to at present,no,nominal,discrete,numeric-2.0,20623,15392,C12 Which one?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnbat,"Religion or denomination belonging to at present, Austria",yes,nominal,discrete,numeric-4.0,1822,34193,C12AT Which one? (Austria),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnbe,"Religion or denomination belonging to at present, Belgium",yes,nominal,discrete,numeric-4.0,808,35207,C12BE Which one? (Belgium),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnach,"Religion or denomination belonging to at present, Switzerland",yes,nominal,discrete,numeric-4.0,882,35133,C12CH Which one? (Switzerland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdncy,"Religion or denomination belonging to at present, Cyprus",yes,nominal,discrete,numeric-4.0,745,35270,C12CY Which one? (Cyprus),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnade,"Religion or denomination belonging to at present, Germany",yes,nominal,discrete,numeric-4.0,1332,34683,C12DE Which one? (Germany),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnafi,"Religion or denomination belonging to at present, Finland",yes,nominal,discrete,numeric-4.0,975,35040,C12FI Which one? (Finland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdngb,"Religion or denomination belonging to at present, United Kingdom",yes,nominal,discrete,numeric-4.0,1004,35011,C12GB Which one? (United Kingdom),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnhu,"Religion or denomination belonging to at present, Hungary",yes,nominal,discrete,numeric-4.0,839,35176,C12HU Which one? (Hungary),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnie,"Religion or denomination belonging to at present, Ireland",yes,nominal,discrete,numeric-4.0,1509,34506,C12IE Which one? (Ireland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnnl,"Religion or denomination belonging to at present, Netherlands",yes,nominal,discrete,numeric-4.0,518,35497,C12NL Which one? (Netherlands),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnno,"Religion or denomination belonging to at present, Norway",yes,nominal,discrete,numeric-4.0,633,35382,C12NO Which one? (Norway),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnapl,"Religion or denomination belonging to at present, Poland",yes,nominal,discrete,numeric-4.0,1281,34734,C12PL Which one? (Poland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnrs,"Religion or denomination belonging to at present, Serbia",yes,nominal,discrete,numeric-4.0,1665,34350,C12RS Which one? (Serbia),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgblge,Ever belonging to particular religion or denomination,no,binary,discrete,numeric-1.0,15067,20948,C13 Have you ever considered yourself as belonging to any particular religion or denomination?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdnme,Religion or denomination belonging to in the past,no,nominal,discrete,numeric-2.0,3821,32194,C14 Which one?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdebat,"Religion or denomination belonging to in the past, Austria",yes,nominal,discrete,numeric-4.0,375,35640,C14AT Which one? (Austria),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdebe,"Religion or denomination belonging to in the past, Belgium",yes,nominal,discrete,numeric-4.0,328,35687,C14BE Which one? (Belgium),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeach,"Religion or denomination belonging to in the past, Switzerland",yes,nominal,discrete,numeric-4.0,296,35719,C14CH Which one? (Switzerland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdecy,"Religion or denomination belonging to in the past, Cyprus",yes,nominal,discrete,numeric-4.0,12,36003,C14CY Which one? (Cyprus),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeade,"Religion or denomination belonging to in the past, Germany",yes,nominal,discrete,numeric-4.0,384,35631,C14DE Which one? (Germany),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeafi,"Religion or denomination belonging to in the past, Finland",yes,nominal,discrete,numeric-4.0,233,35782,C14FI Which one? (Finland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdegb,"Religion or denomination belonging to in the past, United Kingdom",yes,nominal,discrete,numeric-4.0,344,35671,C14GB Which one? (United Kingdom),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdehu,"Religion or denomination belonging to in the past, Hungary",yes,nominal,discrete,numeric-4.0,40,35975,C14HU Which one? (Hungary),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeie,"Religion or denomination belonging to in the past, Ireland",yes,nominal,discrete,numeric-4.0,352,35663,C14IE Which one? (Ireland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdenl,"Religion or denomination belonging to in the past, Netherlands",yes,nominal,discrete,numeric-4.0,412,35603,C14NL Which one? (Netherlands),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeno,"Religion or denomination belonging to in the past, Norway",yes,nominal,discrete,numeric-4.0,244,35771,C14NO Which one? (Norway),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdeapl,"Religion or denomination belonging to in the past, Poland",yes,nominal,discrete,numeric-4.0,87,35928,C14PL Which one? (Poland),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgders,"Religion or denomination belonging to in the past, Serbia",yes,nominal,discrete,numeric-4.0,55,35960,C14IE Which one? (Serbia),"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgdgr,How religious are you,no,ordinal,discrete,numeric-2.0,35601,414,"C15 Regardless of whether you belong to a particular religion, how religious would you say you are?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
rlgatnd,How often attend religious services apart from special occasions,no,ordinal,discrete,numeric-2.0,35699,316,"C16 Apart from special occasions such as weddings and funerals, about how often do you attend religious services nowadays?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
pray,How often pray apart from at religious services,no,ordinal,discrete,numeric-2.0,35122,893,"C17 Apart from when you are at religious services, how often, if at all, do you pray?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrgrp,Member of a group discriminated against in this country,no,binary,discrete,numeric-1.0,35694,321,"C18 Would you describe yourself as being a member of a group that is
discriminated against in this country?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrrce,Discrimination of respondent's group: colour or race,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Colour or race,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrntn,Discrimination of respondent's group: nationality,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Nationality,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrrlg,Discrimination of respondent's group: religion,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Religion,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrlng,Discrimination of respondent's group: language,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Language,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscretn,Discrimination of respondent's group: ethnic group,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Ethnic group,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrage,Discrimination of respondent's group: age,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Age,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrgnd,Discrimination of respondent's group: gender,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Gender,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrsex,Discrimination of respondent's group: sexuality,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Sexuality,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrdsb,Discrimination of respondent's group: disability,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Disability,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscroth,Discrimination of respondent's group: other grounds,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Other,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrdk,Discrimination of respondent's group: don't know,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Don't know,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrref,Discrimination of respondent's group: refusal,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Refusal,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrnap,Discrimination of respondent's group: not applicable,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? Not applicable,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
dscrna,Discrimination of respondent's group: no answer,no,binary,discrete,numeric-1.0,36015,0,C19 On what grounds is your group discriminated against? No answer,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
ctzcntr,Citizen of country,no,binary,discrete,numeric-1.0,35980,35,C20 Are you a citizen of [country]?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
ctzshipd,Citizenship,no,nominal,discrete,character-2,1783,34232,C21 What citizenship do you hold?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
brncntr,Born in country,no,binary,discrete,numeric-1.0,35990,25,C22 Were you born in [country]?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
cntbrthd,Country of birth,no,nominal,discrete,character-2,3566,32449,C23 In which country were you born?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
livecnta,What year you first came to live in country,no,continuous,continuous,numeric-4.0,3574,32441,C24 What year did you first come to live in [country]?,"Group Subjective well-being, social exclusion, religion, national and ethnic identity"
